run_label,run_dir,bars_path,total_rows,rows_2025-10-17_ny,first_ts,last_ts,day_first_ts,day_last_ts
prefx,artifacts/backtests/260124_215021_HOOD_IB_bigrefactor3_300d,artifacts/backtests/260124_215021_HOOD_IB_bigrefactor3_300d/bars/bars_exec_M5_rth.parquet,18720,78,2025-02-10 14:30:00+00:00,2026-01-23 20:55:00+00:00,2025-10-17 13:30:00+00:00,2025-10-17 19:55:00+00:00
latest,artifacts/backtests/260203_002422_HOOD_IB_pipeline1_300d,artifacts/backtests/260203_002422_HOOD_IB_pipeline1_300d/bars/bars_exec_M5_rth.parquet,15912,78,2025-04-07 13:30:00+00:00,2026-01-28 20:55:00+00:00,2025-10-17 13:30:00+00:00,2025-10-17 19:55:00+00:00
