case,symbol,side,target_ts,template_id,signal_ts,entry_price_intent,stop_price_intent,take_profit_intent,entry_fill_ts,entry_fill_price,exit_fill_reason,exit_fill_ts,exit_fill_price,trade_entry_price,trade_exit_price,trade_reason,trade_pnl,bar_close_at_signal,invariant_ok,bars_path
case_1,HOOD,BUY,2025-09-08 13:45:00+00:00,ib_HOOD_20250908_134500,2025-09-08 13:45:00+00:00,113.52,113.12,114.32,2025-09-08 13:45:00+00:00,113.531352,take_profit,2025-09-08 13:50:00+00:00,114.32,113.531352,114.32,take_profit,62.3031919999996,,True,
case_2,HOOD,BUY,2025-11-04 14:40:00+00:00,ib_HOOD_20251104_144000,2025-11-04 14:40:00+00:00,140.74,140.34,141.54000000000002,2025-11-04 14:40:00+00:00,140.754074,take_profit,2025-11-04 14:45:00+00:00,141.54000000000002,140.754074,141.54000000000002,take_profit,51.08519000000115,,True,
case_3,HOOD,SELL,2025-10-17 14:10:00+00:00,ib_HOOD_20251017_141000,2025-10-17 14:10:00+00:00,129.0408,129.4408,128.24079999999998,2025-10-17 14:10:00+00:00,129.02789592,stop_loss,2025-10-17 14:15:00+00:00,129.4408,129.02789592,129.4408,stop_loss,-29.31618968000029,,True,
